datasource;dayofservice;tripid;progrnumber;stoppointid;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;vehicleid;passengers;passengersin;passengersout;distance;suppressed;justificationid;lastupdate;note
DB;27-MAR-17 00:00:00;4522603;14;740;75115;75115;75186;75186;2693260;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533837;28;1242;37187;37187;37040;37040;1001166;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533837;33;664;37469;37469;37272;37272;1001166;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533837;38;614;37716;37716;37481;37494;1001166;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533837;43;619;37966;37966;37707;37707;1001166;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527327;2;1634;36932;36932;36871;36871;1000199;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527327;7;992;37195;37195;37183;37198;1000199;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527327;12;1231;37432;37432;37494;37507;1000199;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527327;17;1235;37621;37621;37692;37711;1000199;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527327;22;1237;38091;38091;38194;38204;1000199;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527327;26;1240;38313;38313;38392;38392;1000199;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;1;4745;62760;62760;62718;62718;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;5;4992;62966;62966;62934;62934;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;10;4998;63226;63226;63182;63191;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;15;2468;63522;63522;63546;63546;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;20;7334;64030;64030;63994;64007;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;25;1841;64434;64434;64455;64474;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;30;1847;64894;64894;64875;64887;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;35;1700;65119;65119;65081;65099;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4523429;40;1804;65361;65361;65295;65309;1000903;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519307;3;7098;56805;56805;57059;57069;1000136;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519307;8;5071;57104;57104;57421;57421;1000136;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4519307;13;1836;57380;57380;57638;57638;1000136;;;;;;;09-APR-17 09:00:06;
